overall_score_ratio,estimated_level,unanswered_ratio,a2_accuracy,b1_accuracy,b2_accuracy,meaning_accuracy,context_accuracy,collocation_accuracy,word_form_accuracy,weakest_type,strongest_type,recommendation_label
0.317,A2,0.1203,0.4681,0.2622,0.1584,0.1102,0.5027,0.343,0.3393,meaning,context,foundation_meaning
0.3031,A2,0.1736,0.4677,0.307,0.1612,0.08,0.3616,0.3292,0.4377,meaning,word-form,foundation_meaning
0.2498,A1,0.1243,0.3367,0.2665,0.0721,0.109,0.411,0.2786,0.2707,meaning,context,foundation_meaning
0.4161,A2,0.0847,0.5012,0.338,0.2457,0.2332,0.4684,0.5343,0.4207,meaning,collocation,foundation_meaning
0.2915,A2,0.1332,0.3581,0.2299,0.1006,0.05,0.4264,0.322,0.2608,meaning,context,foundation_meaning
0.2266,A1,0.1283,0.3126,0.2358,0.1191,0.05,0.2891,0.3629,0.2147,meaning,collocation,foundation_meaning
0.3108,A2,0.1064,0.4306,0.2307,0.1027,0.0992,0.2873,0.2854,0.4375,meaning,word-form,foundation_meaning
0.2031,A1,0.1714,0.315,0.1523,0.04,0.05,0.3362,0.1915,0.2435,meaning,context,foundation_meaning
0.3588,A2,0.1051,0.4659,0.3659,0.2481,0.1971,0.5053,0.3672,0.4046,meaning,context,foundation_meaning
0.2023,A1,0.0786,0.334,0.2079,0.0731,0.0517,0.391,0.2639,0.2609,meaning,context,foundation_meaning
0.1982,A1,0.1449,0.244,0.1341,0.04,0.05,0.2386,0.3612,0.1612,meaning,collocation,foundation_meaning
0.2138,A1,0.1308,0.3415,0.1849,0.0772,0.05,0.2025,0.3903,0.2466,meaning,collocation,foundation_meaning
0.236,A1,0.0347,0.3353,0.2553,0.0804,0.0581,0.2793,0.261,0.4316,meaning,word-form,foundation_meaning
0.2506,A2,0.0445,0.3698,0.251,0.1433,0.05,0.3094,0.2639,0.4182,meaning,word-form,foundation_meaning
0.2748,A2,0.1104,0.4235,0.2808,0.1016,0.0632,0.3571,0.4055,0.336,meaning,collocation,foundation_meaning
0.2504,A2,0.169,0.2743,0.2192,0.0929,0.05,0.3633,0.2816,0.2336,meaning,context,foundation_meaning
0.409,A2,0.1345,0.5067,0.4103,0.2861,0.2379,0.5178,0.4741,0.4779,meaning,context,foundation_meaning
0.3656,A2,0.1679,0.4406,0.3159,0.1796,0.2175,0.4032,0.3735,0.5434,meaning,word-form,foundation_meaning
0.3174,A2,0.1229,0.3907,0.3177,0.1433,0.0877,0.4475,0.3173,0.3582,meaning,context,foundation_meaning
0.308,A2,0.1704,0.3605,0.2619,0.1331,0.0997,0.299,0.2935,0.4186,meaning,word-form,foundation_meaning
0.1743,A1,0.1551,0.3207,0.1705,0.04,0.05,0.2522,0.1599,0.3573,meaning,word-form,foundation_meaning
0.3938,A2,0.1414,0.4373,0.3648,0.1934,0.1504,0.4277,0.3999,0.5515,meaning,word-form,foundation_meaning
0.2225,A1,0.0715,0.3641,0.2081,0.04,0.05,0.2653,0.3626,0.2569,meaning,collocation,foundation_meaning
0.1855,A1,0.1552,0.2385,0.1693,0.0614,0.05,0.2818,0.2251,0.2062,meaning,context,foundation_meaning
0.3224,A2,0.114,0.4289,0.3113,0.1998,0.0664,0.4463,0.3496,0.4064,meaning,context,foundation_meaning
0.4294,A2,0.0918,0.5161,0.3429,0.3074,0.1689,0.4875,0.4186,0.5391,meaning,word-form,foundation_meaning
0.3461,A2,0.1493,0.4398,0.3492,0.2036,0.1029,0.3643,0.4163,0.5363,meaning,word-form,foundation_meaning
0.2264,A1,0.0341,0.3447,0.2117,0.1181,0.05,0.3718,0.2416,0.2207,meaning,context,foundation_meaning
0.4118,A2,0.1165,0.5069,0.3862,0.2667,0.2134,0.4918,0.5839,0.4064,meaning,collocation,foundation_meaning
0.2744,A2,0.1235,0.321,0.1945,0.1362,0.05,0.2733,0.302,0.4103,meaning,word-form,foundation_meaning
0.3646,A2,0.1654,0.4285,0.3078,0.2498,0.1575,0.4894,0.3667,0.3766,meaning,context,foundation_meaning
